Container ID,Commodity,Temperature,Humidity,Timestamp,Vibration,Battery
ATM0035,Avocado,3.72,47.48,2026-07-25 21:27:02.737270,11,83
ATM0036,Avocado,7.85,55.66,2026-07-25 21:27:02.737272,5,92
ATM0037,Avocado,2.98,47.42,2026-07-25 21:27:02.737275,4,85
ATM0038,Avocado,3.14,67.59,2026-07-25 21:27:02.737277,11,81
ATM0039,Avocado,5.3,52.81,2026-07-25 21:27:02.737280,12,100
ATM0040,Avocado,5.44,56.7,2026-07-25 21:27:02.737283,1,98
ATM0041,Avocado,4.77,46.87,2026-07-25 21:27:02.737285,9,89
ATM0042,Avocado,2.28,53.28,2026-07-25 21:27:02.737288,3,82
ATM0043,Avocado,4.28,40.52,2026-07-25 21:27:02.737290,1,100
ATM0044,Avocado,6.18,60.79,2026-07-25 21:27:02.737293,15,86
ATM0045,Avocado,7.7,49.16,2026-07-25 21:27:02.737295,4,88
ATM0046,Avocado,6.54,63.47,2026-07-25 21:27:02.737298,13,99
ATM0047,Avocado,5.01,59.49,2026-07-25 21:27:02.737300,12,85
ATM0048,Avocado,7.14,51.94,2026-07-25 21:27:02.737303,2,80
ATM0049,Avocado,3.91,63.11,2026-07-25 21:27:02.737306,1,100
ATM0050,Avocado,6.97,64.23,2026-07-25 21:27:02.737308,10,96
ATM0051,Avocado,3.42,61.44,2026-07-25 21:27:02.737311,15,80
ATM0052,Avocado,2.64,56.39,2026-07-25 21:27:02.737313,12,90
ATM0053,Avocado,4.05,61.23,2026-07-25 21:27:02.737316,13,99
ATM0054,Avocado,7.84,47.66,2026-07-25 21:27:02.737318,7,89
ATM0055,Avocado,6.44,63.16,2026-07-25 21:27:02.737321,10,90
ATM0056,Avocado,4.94,40.91,2026-07-25 21:27:02.737324,11,87
ATM0057,Avocado,5.84,47.23,2026-07-25 21:27:02.737326,8,87
ATM0058,Avocado,4.8,64.31,2026-07-25 21:27:02.737329,1,97
ATM0059,Avocado,4.6,46.07,2026-07-25 21:27:02.737331,15,85
ATM0060,Avocado,2.19,63.63,2026-07-25 21:27:02.737334,2,93
ATM0061,Avocado,5.28,68.04,2026-07-25 21:27:02.737336,8,93
ATM0062,Avocado,6.51,58.95,2026-07-25 21:27:02.737339,8,98
ATM0063,Avocado,5.88,68.63,2026-07-25 21:27:02.737341,1,96
ATM0064,Avocado,7.91,47.58,2026-07-25 21:27:02.737344,15,85
ATM0065,Avocado,6.65,62.69,2026-07-25 21:27:02.737346,13,82
ATM0066,Avocado,7.74,63.12,2026-07-25 21:27:02.737349,1,95
ATM0067,Avocado,5.66,57.09,2026-07-25 21:27:02.737351,7,100
ATM0068,Avocado,7.02,43.09,2026-07-25 21:27:02.737354,3,84
ATM0069,Avocado,3.18,59.1,2026-07-25 21:27:02.737356,8,93
ATM0070,Avocado,7.74,52.44,2026-07-25 21:27:02.737359,12,83
ATM0071,Avocado,2.29,42.09,2026-07-25 21:27:02.737361,2,97
ATM0072,Avocado,6.3,48.0,2026-07-25 21:27:02.737364,10,85
ATM0073,Avocado,3.26,53.22,2026-07-25 21:27:02.737366,1,86
ATM0074,Avocado,6.76,68.14,2026-07-25 21:27:02.737369,5,96
ATM0075,Avocado,7.5,67.19,2026-07-25 21:27:02.737371,4,88
ATM0076,Avocado,4.87,56.67,2026-07-25 21:27:02.737374,1,86
ATM0077,Avocado,5.77,58.83,2026-07-25 21:27:02.737377,9,94
ATM0078,Avocado,3.75,56.64,2026-07-25 21:27:02.737380,11,89
ATM0079,Avocado,5.49,59.43,2026-07-25 21:27:02.737382,7,88
ATM0080,Avocado,5.06,62.42,2026-07-25 21:27:02.737385,8,88
ATM0081,Avocado,7.85,51.08,2026-07-25 21:27:02.737387,9,87
ATM0082,Avocado,4.08,57.96,2026-07-25 21:27:02.737390,2,97
ATM0083,Avocado,4.45,65.69,2026-07-25 21:27:02.737392,4,95
ATM0084,Avocado,4.09,68.31,2026-07-25 21:27:02.737395,11,92
ATM0085,Avocado,4.15,53.61,2026-07-25 21:27:02.737397,8,84
ATM0086,Avocado,2.14,55.58,2026-07-25 21:27:02.737400,4,99
ATM0087,Avocado,6.58,57.56,2026-07-25 21:27:02.737402,6,82
ATM0088,Avocado,6.86,43.72,2026-07-25 21:27:02.737405,3,93
ATM0089,Avocado,5.57,68.8,2026-07-25 21:27:02.737407,11,86
ATM0090,Avocado,7.85,61.41,2026-07-25 21:27:02.737410,5,89
ATM0091,Avocado,3.71,46.73,2026-07-25 21:27:02.737412,10,86
ATM0092,Avocado,4.1,44.91,2026-07-25 21:27:02.737414,13,100
ATM0093,Avocado,6.02,67.16,2026-07-25 21:27:02.737417,14,85
ATM0094,Avocado,6.46,52.19,2026-07-25 21:27:02.737420,9,100
ATM0095,Avocado,6.86,45.44,2026-07-25 21:27:02.737422,13,95
ATM0096,Avocado,7.07,62.24,2026-07-25 21:27:02.737425,3,91
ATM0097,Avocado,3.81,52.65,2026-07-25 21:27:02.737427,2,92
ATM0098,Avocado,4.53,57.03,2026-07-25 21:27:02.737430,6,80
ATM0099,Avocado,3.17,65.52,2026-07-25 21:27:02.737432,11,83
ATM0100,Avocado,4.2,69.7,2026-07-25 21:27:02.737435,10,97
ATM0101,Avocado,7.39,64.1,2026-07-25 21:27:02.737438,6,93
ATM0102,Avocado,3.06,57.89,2026-07-25 21:27:02.737440,4,94
ATM0103,Avocado,3.89,52.21,2026-07-25 21:27:02.737443,10,91
ATM0104,Avocado,7.15,57.59,2026-07-25 21:27:02.737445,12,93
ATM0105,Avocado,4.18,67.88,2026-07-25 21:27:02.737448,9,97
ATM0106,Avocado,7.42,43.3,2026-07-25 21:27:02.737450,10,93
ATM0107,Avocado,2.06,63.58,2026-07-25 21:27:02.737453,2,87
ATM0108,Avocado,5.18,49.12,2026-07-25 21:27:02.737455,8,89
ATM0109,Avocado,5.33,40.19,2026-07-25 21:27:02.737458,1,85
ATM0110,Avocado,5.39,58.91,2026-07-25 21:27:02.737460,9,85
ATM0111,Avocado,4.22,48.58,2026-07-25 21:27:02.737463,1,93
ATM0112,Avocado,2.65,68.22,2026-07-25 21:27:02.737465,5,86
ATM0113,Avocado,2.66,45.47,2026-07-25 21:27:02.737468,9,94
ATM0114,Avocado,2.62,48.06,2026-07-25 21:27:02.737470,2,98
ATM0115,Avocado,3.86,50.33,2026-07-25 21:27:02.737473,1,100
ATM0116,Avocado,6.11,62.56,2026-07-25 21:27:02.737475,10,84
ATM0117,Avocado,4.07,67.06,2026-07-25 21:27:02.737478,13,94
ATM0118,Avocado,7.05,67.08,2026-07-25 21:27:02.737480,1,92
ATM0119,Avocado,4.57,60.23,2026-07-25 21:27:02.737483,1,95
ATM0120,Avocado,6.56,56.03,2026-07-25 21:27:02.737485,11,97
ATM0121,Avocado,5.18,46.52,2026-07-25 21:27:02.737488,2,95
ATM0122,Avocado,6.07,55.23,2026-07-25 21:27:02.737490,14,92
ATM0123,Avocado,2.5,52.25,2026-07-25 21:27:02.737493,2,88
ATM0124,Avocado,5.86,62.28,2026-07-25 21:27:02.737495,1,96
ATM0125,Avocado,7.16,56.17,2026-07-25 21:27:02.737498,5,82
ATM0126,Avocado,5.12,63.5,2026-07-25 21:27:02.737500,2,94
ATM0127,Avocado,6.92,61.58,2026-07-25 21:27:02.737503,2,96
ATM0128,Avocado,6.97,50.36,2026-07-25 21:27:02.737505,2,91
ATM0129,Avocado,6.17,63.22,2026-07-25 21:27:02.737508,15,84
ATM0130,Avocado,6.96,69.17,2026-07-25 21:27:02.737511,5,86
ATM0131,Avocado,7.23,65.06,2026-07-25 21:27:02.737513,6,90
ATM0132,Avocado,6.0,61.33,2026-07-25 21:27:02.737516,9,98
ATM0133,Avocado,4.26,40.68,2026-07-25 21:27:02.737518,15,87
ATM0134,Avocado,2.48,60.88,2026-07-25 21:27:02.737521,9,97
ATM0135,Avocado,6.44,52.62,2026-07-25 21:27:02.737523,15,91
ATM0136,Avocado,5.47,48.02,2026-07-25 21:27:02.737529,1,95
ATM0137,Avocado,7.06,60.4,2026-07-25 21:27:02.737532,1,89
ATM0138,Avocado,2.89,49.63,2026-07-25 21:27:02.737535,2,90
ATM0139,Avocado,5.73,44.88,2026-07-25 21:27:02.737537,6,83
ATM0140,Avocado,3.36,65.93,2026-07-25 21:27:02.737540,4,84
ATM0141,Avocado,7.86,60.1,2026-07-25 21:27:02.737542,7,86
ATM0142,Avocado,6.13,59.99,2026-07-25 21:27:02.737545,10,92
ATM0143,Avocado,6.36,50.77,2026-07-25 21:27:02.737547,14,89
ATM0144,Avocado,4.33,65.44,2026-07-25 21:27:02.737550,3,80
ATM0145,Avocado,5.63,65.87,2026-07-25 21:27:02.737552,5,80
ATM0146,Avocado,6.23,62.54,2026-07-25 21:27:02.737555,6,98
ATM0147,Avocado,4.07,47.07,2026-07-25 21:27:02.737558,3,89
ATM0148,Avocado,4.73,59.88,2026-07-25 21:27:02.737560,12,85
ATM0149,Avocado,3.34,44.31,2026-07-25 21:27:02.737563,9,91
ATM0150,Avocado,2.2,60.35,2026-07-25 21:27:02.737565,4,85
ATM0151,Avocado,6.49,61.28,2026-07-25 21:27:02.737568,7,80
ATM0152,Avocado,3.63,61.04,2026-07-25 21:27:02.737571,8,95
ATM0153,Avocado,4.96,57.34,2026-07-25 21:27:02.737573,10,84
ATM0154,Avocado,6.4,52.64,2026-07-25 21:27:02.737576,14,82
ATM0155,Avocado,4.32,56.23,2026-07-25 21:27:02.737578,9,86
ATM0156,Avocado,4.73,58.07,2026-07-25 21:27:02.737581,6,94
ATM0157,Avocado,3.6,55.9,2026-07-25 21:27:02.737584,14,92
ATM0158,Avocado,4.83,62.12,2026-07-25 21:27:02.737586,11,83
ATM0159,Avocado,7.21,53.66,2026-07-25 21:27:02.737589,4,99
ATM0160,Avocado,7.32,68.84,2026-07-25 21:27:02.737591,13,97
ATM0161,Avocado,3.55,64.68,2026-07-25 21:27:02.737594,11,91
ATM0162,Avocado,5.74,53.08,2026-07-25 21:27:02.737597,9,89
ATM0163,Avocado,7.49,45.23,2026-07-25 21:27:02.737599,10,91
ATM0164,Avocado,4.93,40.6,2026-07-25 21:27:02.737602,5,90
ATM0165,Avocado,4.2,42.66,2026-07-25 21:27:02.737604,11,95
ATM0166,Avocado,7.6,60.99,2026-07-25 21:27:02.737607,14,81
ATM0167,Avocado,4.12,45.52,2026-07-25 21:27:02.737609,2,96
ATM0168,Avocado,2.37,54.87,2026-07-25 21:27:02.737612,6,89
ATM0169,Avocado,2.06,43.34,2026-07-25 21:27:02.737615,11,91
ATM0170,Avocado,6.69,45.66,2026-07-25 21:27:02.737617,4,94
ATM0171,Avocado,2.42,60.49,2026-07-25 21:27:02.737620,15,84
ATM0172,Avocado,2.56,58.15,2026-07-25 21:27:02.737622,5,83
ATM0173,Avocado,7.44,67.59,2026-07-25 21:27:02.737625,10,84
ATM0174,Avocado,7.65,49.05,2026-07-25 21:27:02.737628,4,81
ATM0175,Avocado,5.21,40.03,2026-07-25 21:27:02.737630,14,82
ATM0176,Avocado,4.82,63.34,2026-07-25 21:27:02.737633,6,86
ATM0177,Avocado,6.32,57.77,2026-07-25 21:27:02.737635,9,91
ATM0178,Avocado,7.03,54.1,2026-07-25 21:27:02.737638,5,83
ATM0179,Avocado,4.71,42.01,2026-07-25 21:27:02.737641,15,80
ATM0180,Avocado,7.57,57.54,2026-07-25 21:27:02.737643,2,83
ATM0181,Avocado,4.01,64.62,2026-07-25 21:27:02.737646,11,99
ATM0182,Avocado,7.54,46.76,2026-07-25 21:27:02.737649,5,80
ATM0183,Avocado,4.18,59.94,2026-07-25 21:27:02.737651,15,98
ATM0184,Avocado,7.26,63.43,2026-07-25 21:27:02.737653,6,87
ATM0185,Avocado,2.36,69.01,2026-07-25 21:27:02.737656,10,86
ATM0186,Avocado,6.18,51.17,2026-07-25 21:27:02.737659,6,98
ATM0187,Avocado,4.78,49.96,2026-07-25 21:27:02.737661,1,99
ATM0188,Avocado,6.81,52.22,2026-07-25 21:27:02.737664,8,88
ATM0189,Avocado,3.79,62.6,2026-07-25 21:27:02.737667,5,92
ATM0190,Avocado,3.12,62.55,2026-07-25 21:27:02.737669,2,85
ATM0191,Avocado,4.53,43.93,2026-07-25 21:27:02.737672,11,98
ATM0192,Avocado,7.67,42.66,2026-07-25 21:27:02.737674,2,88
ATM0193,Avocado,3.5,55.03,2026-07-25 21:27:02.737677,13,81
ATM0194,Avocado,2.85,52.91,2026-07-25 21:27:02.737679,15,80
ATM0195,Avocado,6.88,58.46,2026-07-25 21:27:02.737682,6,93
ATM0196,Avocado,4.57,53.4,2026-07-25 21:27:02.737684,13,95
ATM0197,Avocado,7.21,51.17,2026-07-25 21:27:02.737687,8,86
ATM0198,Avocado,3.98,44.86,2026-07-25 21:27:02.737690,11,94
ATM0199,Avocado,3.91,62.3,2026-07-25 21:27:02.737692,3,100
ATM0200,Avocado,4.25,51.66,2026-07-25 21:27:02.737695,3,80
ATM0201,Avocado,5.12,57.98,2026-07-25 21:27:02.737697,13,90
ATM0202,Avocado,4.41,47.81,2026-07-25 21:27:02.737700,14,86
ATM0203,Avocado,7.03,54.05,2026-07-25 21:27:02.737702,13,87
ATM0204,Avocado,3.94,53.31,2026-07-25 21:27:02.737705,3,100
ATM0205,Avocado,2.22,47.93,2026-07-25 21:27:02.737707,3,81
ATM0206,Avocado,5.19,59.49,2026-07-25 21:27:02.737710,5,99
ATM0207,Avocado,7.1,52.7,2026-07-25 21:27:02.737712,2,81
ATM0208,Avocado,5.83,51.04,2026-07-25 21:27:02.737715,1,99
ATM0209,Avocado,6.99,55.13,2026-07-25 21:27:02.737717,12,88
ATM0210,Avocado,3.91,67.98,2026-07-25 21:27:02.737720,8,94
ATM0211,Avocado,7.51,53.29,2026-07-25 21:27:02.737723,10,83
ATM0212,Avocado,4.23,40.13,2026-07-25 21:27:02.737725,10,89
ATM0213,Avocado,6.3,41.53,2026-07-25 21:27:02.737728,7,100
ATM0214,Avocado,4.13,61.38,2026-07-25 21:27:02.737730,14,99
ATM0215,Avocado,4.06,68.28,2026-07-25 21:27:02.737733,13,89
ATM0216,Avocado,3.72,47.91,2026-07-25 21:27:02.737736,4,86
ATM0217,Avocado,3.22,41.44,2026-07-25 21:27:02.737738,10,80
ATM0218,Avocado,5.26,64.97,2026-07-25 21:27:02.737741,10,81
ATM0219,Avocado,2.7,62.96,2026-07-25 21:27:02.737744,14,95
ATM0220,Avocado,6.19,52.41,2026-07-25 21:27:02.737746,13,81
ATM0221,Avocado,2.36,65.46,2026-07-25 21:27:02.737749,11,81
ATM0222,Avocado,6.95,58.92,2026-07-25 21:27:02.737751,4,90
ATM0223,Avocado,6.89,68.58,2026-07-25 21:27:02.737754,12,84
ATM0224,Avocado,5.95,53.94,2026-07-25 21:27:02.737756,6,94
ATM0225,Avocado,3.85,61.27,2026-07-25 21:27:02.737759,5,88
ATM0226,Avocado,6.23,60.73,2026-07-25 21:27:02.737761,13,100
ATM0227,Avocado,4.96,44.78,2026-07-25 21:27:02.737764,14,95
ATM0228,Avocado,2.56,62.19,2026-07-25 21:27:02.737766,10,84
ATM0229,Avocado,2.52,51.05,2026-07-25 21:27:02.737769,2,83
ATM0230,Avocado,3.34,54.96,2026-07-25 21:27:02.737771,2,88
ATM0231,Avocado,3.74,48.54,2026-07-25 21:27:02.737774,3,81
ATM0232,Avocado,4.16,45.35,2026-07-25 21:27:02.737776,2,99
ATM0233,Avocado,6.86,67.17,2026-07-25 21:27:02.737779,3,82
ATM0234,Avocado,7.15,43.88,2026-07-25 21:27:02.737782,9,80
ATM0235,Avocado,5.25,60.94,2026-07-25 21:27:02.737784,14,84
ATM0236,Avocado,2.39,65.59,2026-07-25 21:27:02.737787,6,96
ATM0237,Avocado,5.86,44.31,2026-07-25 21:27:02.737789,12,93
ATM0238,Avocado,5.8,46.87,2026-07-25 21:27:02.737792,8,94
ATM0239,Avocado,2.66,67.06,2026-07-25 21:27:02.737794,5,85
ATM0240,Avocado,4.36,42.73,2026-07-25 21:27:02.737797,3,86
ATM0241,Avocado,6.2,43.58,2026-07-25 21:27:02.737799,7,97
ATM0242,Avocado,3.84,44.49,2026-07-25 21:27:02.737802,12,92
ATM0243,Avocado,2.93,51.89,2026-07-25 21:27:02.737804,8,81
ATM0244,Avocado,5.33,52.37,2026-07-25 21:27:02.737807,9,86
ATM0245,Avocado,4.4,51.29,2026-07-25 21:27:02.737810,11,89
ATM0246,Avocado,7.82,67.73,2026-07-25 21:27:02.737813,10,93
ATM0247,Avocado,3.41,41.92,2026-07-25 21:27:02.737815,1,88
ATM0248,Avocado,7.39,48.09,2026-07-25 21:27:02.737818,12,96
ATM0249,Avocado,4.0,56.11,2026-07-25 21:27:02.737820,2,96
ATM0250,Avocado,7.32,46.97,2026-07-25 21:27:02.737823,7,94
ATM0251,Avocado,3.14,67.61,2026-07-25 21:27:02.737825,5,95
ATM0252,Avocado,7.22,57.38,2026-07-25 21:27:02.737828,6,89
ATM0253,Avocado,7.46,40.35,2026-07-25 21:27:02.737831,13,99
ATM0254,Avocado,2.38,52.78,2026-07-25 21:27:02.737833,9,84
ATM0255,Avocado,3.51,48.74,2026-07-25 21:27:02.737836,8,97
ATM0256,Avocado,2.88,65.63,2026-07-25 21:27:02.737838,1,83
ATM0257,Avocado,3.38,65.56,2026-07-25 21:27:02.737841,11,97
ATM0258,Avocado,4.31,48.6,2026-07-25 21:27:02.737844,12,90
ATM0259,Avocado,5.43,67.92,2026-07-25 21:27:02.737846,1,86
ATM0260,Avocado,5.38,66.39,2026-07-25 21:27:02.737849,11,96
ATM0261,Avocado,3.29,66.88,2026-07-25 21:27:02.737851,3,89
ATM0262,Avocado,5.73,53.34,2026-07-25 21:27:02.737854,8,92
ATM0263,Avocado,5.06,56.35,2026-07-25 21:27:02.737856,2,90
ATM0264,Avocado,7.07,63.58,2026-07-25 21:27:02.737859,14,86
ATM0265,Avocado,3.98,44.35,2026-07-25 21:27:02.737862,4,99
ATM0266,Avocado,4.38,50.82,2026-07-25 21:27:02.737864,10,80
ATM0267,Avocado,5.21,68.21,2026-07-25 21:27:02.737867,8,92
ATM0268,Avocado,3.98,50.79,2026-07-25 21:27:02.737869,14,86
ATM0269,Avocado,3.13,58.24,2026-07-25 21:27:02.737872,8,84
ATM0270,Avocado,3.67,62.82,2026-07-25 21:27:02.737874,15,93
ATM0271,Avocado,3.18,41.07,2026-07-25 21:27:02.737877,8,95
ATM0272,Avocado,2.81,43.39,2026-07-25 21:27:02.737882,15,90
ATM0273,Avocado,5.65,51.98,2026-07-25 21:27:02.737884,12,80
ATM0274,Avocado,6.68,45.6,2026-07-25 21:27:02.737887,1,85
ATM0275,Avocado,4.33,46.19,2026-07-25 21:27:02.737889,4,88
ATM0276,Avocado,6.15,52.18,2026-07-25 21:27:02.737892,14,95
ATM0277,Avocado,3.39,54.56,2026-07-25 21:27:02.737895,7,80
ATM0278,Avocado,2.73,58.52,2026-07-25 21:27:02.737897,13,81
ATM0279,Avocado,3.86,66.56,2026-07-25 21:27:02.737900,8,100
ATM0280,Avocado,5.09,44.54,2026-07-25 21:27:02.737902,13,95
ATM0281,Avocado,7.45,49.39,2026-07-25 21:27:02.737905,10,94
ATM0282,Avocado,4.97,41.97,2026-07-25 21:27:02.737907,6,88
ATM0283,Avocado,3.12,62.15,2026-07-25 21:27:02.737910,2,91
ATM0284,Avocado,2.65,68.38,2026-07-25 21:27:02.737913,5,85
ATM0285,Avocado,5.63,69.38,2026-07-25 21:27:02.737915,5,95
ATM0286,Avocado,4.36,57.4,2026-07-25 21:27:02.737918,14,87
ATM0287,Avocado,3.66,44.14,2026-07-25 21:27:02.737920,10,90
ATM0288,Avocado,4.72,68.57,2026-07-25 21:27:02.737923,14,93
ATM0289,Avocado,3.38,66.99,2026-07-25 21:27:02.737925,3,82
ATM0290,Avocado,3.29,65.78,2026-07-25 21:27:02.737928,11,84
ATM0291,Avocado,2.78,58.81,2026-07-25 21:27:02.737931,10,99
ATM0292,Avocado,3.05,63.42,2026-07-25 21:27:02.737933,10,98
ATM0293,Avocado,5.0,58.88,2026-07-25 21:27:02.737936,1,86
ATM0294,Avocado,7.4,51.7,2026-07-25 21:27:02.737938,4,88
ATM0295,Avocado,3.34,47.32,2026-07-25 21:27:02.737941,13,82
ATM0296,Avocado,3.66,46.29,2026-07-25 21:27:02.737943,11,84
ATM0297,Avocado,5.41,48.27,2026-07-25 21:27:02.737946,13,80
ATM0298,Avocado,3.77,46.86,2026-07-25 21:27:02.737948,4,88
ATM0299,Avocado,7.54,69.23,2026-07-25 21:27:02.737951,5,98
ATM0300,Avocado,4.9,42.79,2026-07-25 21:27:02.737953,13,84
ATM0301,Avocado,4.53,63.11,2026-07-25 21:27:02.737956,6,91
ATM0302,Avocado,3.82,43.44,2026-07-25 21:27:02.737958,1,90
ATM0303,Avocado,6.12,41.42,2026-07-25 21:27:02.737961,9,88
ATM0304,Avocado,3.27,59.09,2026-07-25 21:27:02.737964,13,85
ATM0305,Avocado,4.47,45.35,2026-07-25 21:27:02.737966,3,80
ATM0306,Avocado,5.41,69.74,2026-07-25 21:27:02.737969,15,91
ATM0307,Avocado,6.86,44.28,2026-07-25 21:27:02.737971,13,88
ATM0308,Avocado,4.4,42.33,2026-07-25 21:27:02.737974,8,84
ATM0309,Avocado,4.86,64.42,2026-07-25 21:27:02.737976,4,82
ATM0310,Avocado,6.36,69.64,2026-07-25 21:27:02.737979,14,86
ATM0311,Avocado,6.1,42.44,2026-07-25 21:27:02.737981,5,100
ATM0312,Avocado,3.37,48.31,2026-07-25 21:27:02.737984,4,88
ATM0313,Avocado,7.13,51.55,2026-07-25 21:27:02.737986,9,83
ATM0314,Avocado,6.0,49.46,2026-07-25 21:27:02.737989,6,82
ATM0315,Avocado,6.06,64.59,2026-07-25 21:27:02.737992,14,80
ATM0316,Avocado,4.45,69.75,2026-07-25 21:27:02.737994,9,85
ATM0317,Avocado,3.13,64.04,2026-07-25 21:27:02.737997,1,94
ATM0318,Avocado,5.17,61.29,2026-07-25 21:27:02.737999,12,95
ATM0319,Avocado,2.53,53.23,2026-07-25 21:27:02.738002,5,97
ATM0320,Avocado,3.97,42.39,2026-07-25 21:27:02.738004,8,84
ATM0321,Avocado,4.04,55.12,2026-07-25 21:27:02.738007,11,84
ATM0322,Avocado,4.42,64.57,2026-07-25 21:27:02.738009,10,85
ATM0323,Avocado,5.82,45.92,2026-07-25 21:27:02.738012,3,86
ATM0324,Avocado,6.31,63.06,2026-07-25 21:27:02.738014,7,81
ATM0325,Avocado,2.4,40.35,2026-07-25 21:27:02.738017,15,97
ATM0326,Avocado,2.71,55.39,2026-07-25 21:27:02.738020,5,85
ATM0327,Avocado,4.12,66.85,2026-07-25 21:27:02.738022,7,96
ATM0328,Avocado,5.18,40.76,2026-07-25 21:27:02.738025,8,94
ATM0329,Avocado,3.9,54.43,2026-07-25 21:27:02.738027,13,99
ATM0330,Avocado,7.38,56.55,2026-07-25 21:27:02.738030,12,80
ATM0331,Avocado,3.63,48.13,2026-07-25 21:27:02.738032,7,99
ATM0332,Avocado,7.79,67.42,2026-07-25 21:27:02.738035,14,91
ATM0333,Avocado,2.2,62.8,2026-07-25 21:27:02.738037,14,95
ATM0334,Avocado,2.36,62.84,2026-07-25 21:27:02.738040,1,93
ATM0335,Avocado,4.82,61.2,2026-07-25 21:27:02.738043,1,99
ATM0336,Avocado,3.27,43.13,2026-07-25 21:27:02.738045,13,87
ATM0337,Avocado,6.93,69.17,2026-07-25 21:27:02.738048,11,93
ATM0338,Avocado,3.58,67.23,2026-07-25 21:27:02.738050,15,85
ATM0339,Avocado,6.87,58.42,2026-07-25 21:27:02.738053,5,99
ATM0340,Avocado,5.06,53.86,2026-07-25 21:27:02.738055,12,88
ATM0341,Avocado,5.45,52.9,2026-07-25 21:27:02.738058,14,94
ATM0342,Avocado,6.01,47.84,2026-07-25 21:27:02.738061,3,97
ATM0343,Avocado,6.86,66.51,2026-07-25 21:27:02.738063,13,99
ATM0344,Avocado,3.93,69.5,2026-07-25 21:27:02.738066,13,85
ATM0345,Avocado,6.44,56.66,2026-07-25 21:27:02.738068,10,93
ATM0346,Avocado,5.7,54.78,2026-07-25 21:27:02.738071,11,81
ATM0347,Avocado,3.89,48.86,2026-07-25 21:27:02.738073,7,82
ATM0348,Avocado,2.61,44.11,2026-07-25 21:27:02.738076,5,87
ATM0349,Avocado,3.04,42.68,2026-07-25 21:27:02.738078,8,99
ATM0350,Avocado,6.75,67.6,2026-07-25 21:27:02.738081,14,94
ATM0351,Avocado,2.6,54.8,2026-07-25 21:27:02.738084,12,81
ATM0352,Avocado,3.66,57.03,2026-07-25 21:27:02.738086,6,91
ATM0353,Avocado,3.4,65.66,2026-07-25 21:27:02.738089,1,100
ATM0354,Avocado,7.31,69.45,2026-07-25 21:27:02.738091,14,85
ATM0355,Avocado,3.14,47.24,2026-07-25 21:27:02.738094,10,92
ATM0356,Avocado,2.81,47.56,2026-07-25 21:27:02.738096,2,95
ATM0357,Avocado,5.73,51.52,2026-07-25 21:27:02.738099,10,90
